sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
11,12592,LD2,2100,750,9.888999631007193,0.00022447412374178497
11,12593,LD2,2100,750,9.888964500878593,0.000299633616214006
11,12597,LD2,2100,750,9.888872221936682,0.00037948622477789227
11,12598,LD2,2100,750,9.888468356863635,0.0002876187494863926
11,12599,LD2,2100,750,9.888985077714285,0.00041267784911808717
11,12614,LD2,2100,750,9.888838581064892,0.00028756617157624795
11,12618,LD2,2100,750,9.888912002,0.0003607852564592352
11,12619,LD2,2100,750,9.888910679202898,0.00033813322409154795
11,12620,LD2,2100,750,9.888998882299267,0.0002727193833725665
11,12623,LD2,2100,750,9.889024798173718,0.00032949429674098904
11,12627,LD2,2100,750,9.889068174999998,0.000223310985823962
11,12628,LD2,2100,750,9.889149593144653,0.00024386395422191056
11,12638,LD2,2100,750,9.888852339677419,0.00035215006409973514
11,12639,LD2,2100,750,9.888945567183098,0.0001830595184095866
11,12641,LD2,2100,750,9.888901763041666,0.000281147563705322
11,12642,LD2,2100,750,9.88877524,0.00023649924693325787
11,12643,LD2,2100,750,9.888682229999997,0.00028472307767024113
11,12644,LD2,2100,750,9.888788072499999,0.00038573373797544445
11,12645,LD2,2100,750,9.888485448525799,0.00042254600748400294
11,12647,LD2,2100,750,9.888781958716049,0.0004270746976339504
11,12653,LD2,2100,750,9.888171361436783,0.0003537730813530302
11,12654,LD2,2100,750,9.888237961234566,0.00022986223780449048
11,12655,LD2,2100,750,9.888528776554455,0.0002689440889625581
11,12656,LD2,2100,750,9.888711824111969,0.00021072917847187917
11,12659,LD2,2100,750,9.888813012399297,0.000274623169173345
11,12660,LD2,2100,750,9.888817897522122,0.000344282464764935
11,12661,LD2,2100,750,9.888610468526315,0.00028485407503548696
11,12662,LD2,2100,750,9.888846860788641,0.0003136544846989757
11,12664,LD2,2100,750,9.888544895240173,0.00048325431714622434
11,12666,LD2,2100,750,9.888524289148934,0.000295805696876222
11,12671,LD2,2100,750,9.888815596960653,0.0003087434108546047
11,12673,LD2,2100,750,9.88878640521452,0.0002344656597667001
11,12674,LD2,2100,750,9.888722402114752,0.0002473558593776308
11,12678,LD2,2100,750,9.888501075939395,0.0003690882849841646
11,12679,LD2,2100,750,9.888485240224524,0.00044510274659529514
11,12680,LD2,2100,750,9.888407804415323,0.0003107428352607265
11,12681,LD2,2100,750,9.888229915348836,7.931342858572089e-05
11,12682,LD2,2100,750,9.888304002310537,0.00033084595273615616
11,12683,LD2,2100,750,9.888190886275718,0.0002994168306413224
11,12684,LD2,2100,750,9.888017501666667,0.0002525287759179538
11,12686,LD2,2100,750,9.888085086496597,0.0006047917174009811
11,12687,LD2,2100,750,9.887604636098002,0.0004990225554815543
11,12688,LD2,2100,750,9.887345322097264,0.0005724956049097328
11,12693,LD2,2100,750,9.88894719818182,0.00017772367592277168
11,12694,LD2,2100,750,9.889000119729166,0.00017623356573849788
11,12695,LD2,2100,750,9.888996418929253,0.00016724410948766228
11,12697,LD2,2100,750,9.888980864557235,0.0001665134342621937
11,12699,LD2,2100,750,9.889121881788617,0.00010544597256717408
11,12700,LD2,2100,750,9.889215622941176,0.00016618982815210718
11,12701,LD2,2100,750,9.8891947513253,0.00015416155590452268
11,12702,LD2,2100,750,9.889123860163265,0.0001799934899321755
11,12706,LD2,2100,750,9.889135908072726,0.00014146011912951557
11,12707,LD2,2100,750,9.889200839253332,0.00013665283639254088
11,12708,LD2,2100,750,9.889199001019332,0.000138878971861354
11,12709,LD2,2100,750,9.889199700209424,0.00013882780322779358
11,12710,LD2,2100,750,9.889201824749998,0.00015916527991022018
11,12711,LD2,2100,750,9.889183431687897,0.00011597118864599668
11,12713,LD2,2100,750,9.889095425625,0.00011580017616395939
11,12714,LD2,2100,750,9.889081390291594,0.0001250962548082278
11,12715,LD2,2100,750,9.889132084931505,0.00014884002348460306
11,12721,LD2,2100,750,9.889162788169209,0.0002574012636009775
11,12722,LD2,2100,750,9.889086758903344,0.0001541410535020851
11,12726,LD2,0,750,9.889046641316963,0.00013511824774137528
11,12728,LD2,0,750,9.889020776786516,0.00018832288956951187
11,12729,LD2,0,750,9.889019729444442,0.00018203308892857816
11,12732,LD2,2100,750,9.888946964649264,0.00019197941086192827
11,12733,LD2,2100,750,9.888992638534882,0.00024332346681743428
11,12734,LD2,2100,750,9.888905119572367,0.00024145409811402038
11,12735,LD2,2100,750,9.888882963067093,0.00023803385192219017
11,12737,LD2,2100,750,9.889192730555555,0.00021177087883801607
11,12738,LD2,2100,750,9.889413915502553,0.00018033769025209797
11,12739,LD2,2100,750,9.889296504999999,0.00016401168479850258
11,12740,LD2,2100,750,9.889424165724465,0.0001850480825912847
11,12742,LD2,2100,750,9.888877372105261,0.00026814567496650317
11,12743,LD2,2100,750,9.889329302103894,0.00021218275105079179
11,12767,LD2,2100,750,9.889473858115629,0.00021067897384177906
11,12768,LD2,2100,750,9.889399525842446,0.0002439802994642624
11,12769,LD2,2100,750,9.889517732416268,0.0002313561843938552
11,12770,LD2,2100,750,9.889447383339999,0.00025138006749343374
11,12771,LD2,2100,750,9.88951946657351,0.00023657737679618108
11,12772,LD2,2100,750,9.889370046296678,0.000200751126631824
11,12773,LD2,2100,750,9.889348362172072,0.00014591571029703878
11,12778,LD2,2100,750,9.889424455215906,0.00019780717357147147
11,12779,LD2,2100,750,9.889321680892195,0.00020483056660921178
11,12781,LD2,2100,750,9.889206563352825,0.00023441998617515825
11,12782,LD2,2100,750,9.889344015571846,0.0001955865017229939
11,12796,LD2,2100,750,9.889251137575755,9.545937053580631e-05
11,12797,LD2,2100,750,9.889326985946601,0.00019053467997916687
11,12798,LD2,2100,750,9.889456328891564,0.00022906940259814578
11,12799,LD2,2100,750,9.88950082653846,0.00022963693455631016
11,12801,LD2,2100,750,9.88942883841216,0.00019829007673222466
11,12802,LD2,2100,750,9.88949580818,0.00022545183639615347
11,12813,LD2,2100,750,9.88923498324647,0.0001607607436134051
11,12814,LD2,2100,750,9.88938416891709,0.0001764115667788011
11,12815,LD2,2100,750,9.889531099350878,0.00021700413859542588
11,12816,LD2,2100,750,9.889615096924315,0.00023565827002368286
11,12817,LD2,2100,750,9.889729551084903,0.0002748269839713925
11,12819,LD2,2100,750,9.889676939949998,0.00029368924928761125
11,12820,LD2,2100,750,9.889584723430229,0.0002558894085167225
11,12824,LD2,2100,750,9.889463603745705,0.0002069704859450503
11,12825,LD2,2100,750,9.889498626310832,0.00023846274068713147
11,12826,LD2,2100,750,9.889478903499997,0.0002059260380107631
11,12827,LD2,2100,750,9.889492595714286,0.0001988181467979064
11,12828,LD2,2100,750,9.889398731469594,0.00022623101933229048
11,12829,LD2,2100,750,9.889295078827587,0.00018095045949329368
11,12830,LD2,2100,750,9.88927690295238,0.00020855245447992348
11,12894,LD2,2100,750,9.887787694227352,0.0005469608889798113
11,12896,LD2,2100,750,9.88855618617954,0.0002924802751555376
11,12897,LD2,2100,750,9.88883200605341,0.00044884084787404673
11,12902,LD2,2100,750,9.888928347920787,0.0009486284415346891
11,12903,LD2,2100,750,9.8884333704,0.000558887344406644
11,12904,LD2,2100,750,9.889049411608875,0.0006463380659459752
11,12906,LD2,2100,750,9.88919641060606,0.00019180164417618588
11,12907,LD2,2100,750,9.889249737026626,0.00019022575518790017
11,12908,LD2,2100,750,9.889312404743588,0.00021781625660304826
11,12909,LD2,2100,750,9.889293313127961,0.00020082439720528158
11,12911,LD2,2100,750,9.88923603,0.00016389667005099667
11,12912,LD2,2100,750,9.889166482190332,0.00022864350498542126
11,12913,LD2,2100,750,9.889152535876288,0.00012719595638376258
11,12914,LD2,2100,750,9.88921361617801,0.00018429532150029778
11,12915,LD2,2100,750,9.889246832057141,0.0002032987811807608
11,12916,LD2,2100,750,9.88924810002016,0.00023577533416157056
11,12917,LD2,2100,750,9.889388677749999,0.0002612594761487681
11,12918,LD2,2100,750,9.889591910624999,0.00031459366360797445
11,12919,LD2,2100,750,9.889427786971934,0.0002139827124688468
11,12920,LD2,2100,750,9.889538271092148,0.00026585344012187767
11,12921,LD2,2100,750,9.889660120595236,0.00024615900773545065
11,12932,LD2,2100,750,9.88949731862069,0.0002677333853495604
11,12933,LD2,2100,750,9.88946388114228,0.000254884122272003
11,12934,LD2,2100,750,9.889711439163179,0.00035187285919590565
11,12935,LD2,2100,750,9.889697106506716,0.00027007037779818425
11,12936,LD2,2100,750,9.889489339025488,0.0002908126068122304
11,12939,LD2,2100,750,9.888857123571425,0.00040198834532308294
11,12940,LD2,2100,750,9.88874499852615,0.0003602760942300014
11,12946,LD2,2100,750,9.888595968652846,0.00032891824404025424
11,12957,LD2,2100,750,9.888976306696629,0.0001946008069827918
11,12961,LD2,2100,750,9.888909038217212,0.000195076274283688
11,12962,LD2,2100,750,9.888887805145227,0.00017242287014379308
11,12963,LD2,2100,750,9.889028976874998,0.00016420796407680768
11,12965,LD2,2100,750,9.888989074475626,0.00018262748937371038
11,12968,LD2,2100,750,9.888931962116184,0.00018695551645150728
11,12969,LD2,2100,750,9.888909721257033,0.00018559327355372948
11,12970,LD2,2100,750,9.88894439874003,0.00024550327154114157
11,12971,LD2,2100,750,9.888848784878503,0.00018711776827247148
11,12972,LD2,2100,750,9.888702090702946,0.0002722825910817666
11,12975,LD2,2100,750,9.889112292348992,0.00016936628816882507
11,12976,LD2,2100,750,9.889093573988436,0.0001537299585248418
11,12977,LD2,2100,750,9.88913232111111,0.00018982445886599878
11,12979,LD2,2100,750,9.888903502894735,0.00017900591129759458
11,12980,LD2,2100,750,9.889050645602408,0.00017603401694849528
11,12982,LD2,2100,750,9.888544452419602,0.000324471481097188
11,12983,LD2,2100,750,9.888905518840579,0.00026521092960171596
11,12984,LD2,2100,750,9.889170756301143,0.00016379946958949978
11,12986,LD2,2100,750,9.889047973280114,0.0002510439323290085
11,12987,LD2,2100,750,9.889053873148935,0.00023009607125062248
11,12988,LD2,2100,750,9.888991131239669,0.0002647110916006996
11,12989,LD2,2100,750,9.889005397627905,0.00030169737595976036
11,13000,LD2,2100,750,9.888687699321704,0.0002441269859184957
11,13029,LD2,2100,750,9.888725510400695,0.00026751092765771566
11,13030,LD2,2100,750,9.888787821545138,0.0002484120675546205
11,13034,LD2,2100,750,9.88895840581272,0.0002833277959207686
11,13035,LD2,2100,750,9.88928736428312,0.00024567858129483403
11,13036,LD2,2100,750,9.889388614552844,0.000248833465797609
11,13038,LD2,2100,750,9.889044812282608,0.0003772468353499306
11,13039,LD2,2100,750,9.889059576265732,0.0005068722292919284
11,13040,LD2,2100,750,9.888958212892442,0.00041265402632346715
11,13044,LD2,2100,750,9.888863054873188,0.0001607447420072704
11,13045,LD2,2100,750,9.889032975951114,0.00024796839024474314
11,13048,LD2,2100,750,9.889197925833333,0.00017892040108845718
11,13049,LD2,2100,750,9.888874693804807,0.0002902844227659296
11,13050,LD2,2100,750,9.888840525437955,0.00024276458728681358
